日期,佰草集,倩碧,兰芝,兰蔻,妮维雅,娇兰,悦诗风吟,欧珀莱,欧莱雅,相宜本草,美加净,美宝莲,自然堂,薇姿,蜜丝佛陀,资生堂,雅漾,雅诗兰黛,雪花秀,总销量
5,1437886.0,672581.0,1014916.0,469012.0,3972389.0,21523.0,3983286.0,468769.0,2626359.0,7857652.0,895145.0,4090577.0,1537672.0,102850.0,1526969.0,42210.0,623358.0,592002.0,86607.0,32021763.0
6,1439717.0,651194.0,1016749.0,473758.0,3979540.0,21859.0,4003622.0,464134.0,3211945.0,7856894.0,886297.0,4094255.0,1538037.0,105157.0,1528591.0,38017.0,630427.0,593992.0,83794.0,32617979.0
7,1446001.0,763167.0,987563.0,458931.0,3476261.0,22089.0,4015237.0,434510.0,3128074.0,7710323.0,888071.0,4097576.0,1181392.0,107549.0,1526792.0,37270.0,633581.0,597458.0,84731.0,31596576.0
8,1438328.0,770344.0,978082.0,463644.0,3993028.0,22336.0,4021346.0,447210.0,3290104.0,7711768.0,884089.0,4102207.0,1563599.0,107507.0,1528663.0,44559.0,617411.0,598736.0,83268.0,32666229.0
9,1448884.0,774890.0,980249.0,468765.0,4000143.0,22528.0,4079415.0,466119.0,3766659.0,7713348.0,907424.0,4109948.0,1573467.0,110709.0,1528486.0,57840.0,623145.0,602891.0,88636.0,33323546.0
10,1451283.0,802847.0,996188.0,483199.0,4045684.0,10784.0,4098469.0,478367.0,3907779.0,5906458.0,907806.0,4119040.0,1573684.0,113568.0,1530687.0,49783.0,624950.0,604950.0,70203.0,31775729.0
11,1750778.0,699142.0,880736.0,275733.0,3913823.0,5872.0,3868726.0,327106.0,3305700.0,3952281.0,680223.0,3766878.0,1726660.0,55297.0,1563277.0,19231.0,544513.0,454664.0,27543.0,27818183.0
12,1488526.0,691342.0,770399.0,4263.0,3638057.0,18134.0,3665169.0,307731.0,3525720.0,5527695.0,925773.0,3662142.0,1877051.0,59105.0,1555318.0,28036.0,577729.0,441901.0,57106.0,28821197.0
13,1440908.0,691524.0,752341.0,4858.0,3615817.0,18198.0,3666842.0,285389.0,3517852.0,5394190.0,925980.0,3656703.0,2636236.0,59140.0,1550955.0,18173.0,583614.0,437081.0,45887.0,29301688.0
14,1652153.0,697529.0,753021.0,4843.0,3619718.0,18305.0,3668384.0,271637.0,3492963.0,5832338.0,925098.0,3658762.0,2629654.0,59208.0,1551509.0,16102.0,589123.0,437463.0,75856.0,29953666.0
